steps,success_rate,ep_reward,ep_length,actor_loss,critic_loss
266139,0.1,-0.539558904511588,150.0,-8.084098080226353,0.057164059755880216
267189,0.6,-0.5067131476742881,150.0,-8.053607051486061,0.0563816956075884
268239,0.5,-0.5594064167567662,150.0,-8.082260413396927,0.05617949083181364
269289,0.0,-0.5354283664907727,150.0,-8.011333144959949,0.054587152429102434
270339,0.2,-0.5176531587328229,150.0,-8.001080829756601,0.058908512669482396
271389,0.0,-0.5240766406059265,150.0,-8.030011530830746,0.05737139869215233
272439,0.0,-0.5173168310097286,150.0,-7.989902800605411,0.05421624405398255
273489,0.3,-0.5346582319055285,150.0,-7.98939159030006,0.05372613489184351
274539,0.0,-0.538237350327628,150.0,-8.035888941628594,0.05064126135958802
275589,0.3,-0.5413897122655597,150.0,-8.016649683997743,0.05824742734432221
276639,0.0,-0.5212799693856921,150.0,-7.986061860947381,0.051338379388409
277689,0.1,-0.49180525115558077,150.0,-7.983698599679129,0.054618116985296915
278739,0.0,-0.49929283772196087,150.0,-7.933296649569557,0.051187284281920827
279789,0.2,-0.5282648503780365,150.0,-8.042425018038069,0.0559802478436558
280839,0.1,-0.5040684597832816,150.0,-7.9627623403640015,0.06107586934896452
281889,0.5,-0.5201187516961779,150.0,-7.945275456110636,0.05611871741712093
282939,0.4,-0.520206379038947,150.0,-7.97920508657183,0.05231069554973926
283989,0.3,-0.5230554171970913,150.0,-7.961145600364323,0.052153051623276304
285039,0.2,-0.5267641076019832,150.0,-7.929321189153763,0.05070063337328888
286089,0.5,-0.540987891810281,150.0,-7.951277383168539,0.053400544753032075
287139,0.1,-0.5199735420090812,150.0,-7.943909769512358,0.05447108473007877
288189,0.0,-0.4884806658540453,150.0,-7.992820180257161,0.0512949697832976
289239,0.0,-0.5349841884204319,150.0,-7.943925056457521,0.0511921818093175
290289,0.3,-0.5230146263326917,150.0,-7.976444785254341,0.05373517258181458
291339,0.0,-0.5133391576153892,150.0,-7.99181155976795,0.05663291987563882
292389,0.2,-0.5203158855438232,150.0,-7.933871335529146,0.049414847366334426
293439,0.1,-0.504429544721331,150.0,-7.915866414932977,0.05475947098540408
294489,0.2,-0.5022464564868382,150.0,-7.927550442105248,0.05281033142780265
295539,0.6,-0.5198604209082467,150.0,-7.872670410701206,0.05054002698865675
296589,0.0,-0.5204903653689793,150.0,-7.915829316093808,0.05154413827827998
297639,0.3,-0.512904303414481,150.0,-7.887161958785284,0.04869642329269221
298689,0.1,-0.5083911035742078,150.0,-7.916331861132667,0.047676836559992455
299739,0.0,-0.5276644017015185,150.0,-7.848589049293881,0.0531106231822854
300789,0.2,-0.5284265407494136,150.0,-7.834905040377663,0.054671079578499
301839,0.1,-0.5211843975952694,150.0,-7.8201736686343235,0.04871962383566868
302889,0.3,-0.54305414216859,150.0,-7.757912981396629,0.05260627549762527
303939,0.0,-0.5427671032292503,150.0,-7.803363188789005,0.05174531388850439
304989,0.0,-0.5039005534989494,150.0,-7.815419171197074,0.049541539953400694
306039,0.1,-0.5440358860152108,150.0,-7.720438836869739,0.05290832224257646
307089,0.0,-0.5174969605037144,150.0,-7.7085958657945906,0.04766523727437571
308139,0.2,-0.49057742953300476,150.0,-7.699978416987827,0.046735936264906616
309189,0.4,-0.5182115818772998,150.0,-7.745076274871826,0.043717018991176575
310239,0.0,-0.5418204750333514,150.0,-7.72561170623416,0.044320933157134625
311289,0.1,-0.5350302628108433,150.0,-7.719520496640887,0.049229472082640446
312339,0.0,-0.5368486217090062,150.0,-7.700323368708292,0.04611317539942406
313389,0.2,-0.5178572237491608,150.0,-7.687927901858376,0.04441916878113434
314439,0.0,-0.5101617872714996,150.0,-7.601085863113403,0.04954166843866309
315489,0.2,-0.523752680846623,150.0,-7.608782512573969,0.04519041126771343
316539,0.2,-0.5189678030354636,150.0,-7.588844397408622,0.04650455532905956
